Código;Descripción;ves
PPCMTO;naylon transparente 0.3x100mt crisvi;935
LEGHPPZ;notas adhesivas 100H NEON  76X76 MM;435
YP;notas adhesivas 400H NEON  75X75 MM;2360
EXPIND;notas adhesivas señaladoras banderitas G;1090
GELKTRF;notas adhesivas señaladoras banderitas P;435
6,93E+12;ojitos movibles bolsita 5 pares surtidos;435
OLLRCT80;pabilo COLOR;315
1144;pabilo economico;205
PHC;paleta helado color;395
PHN;paleta helado natural;270
7,59E+12;palito plastico para globos delgado;100
PBB;papel bond B16 66x96 blan CHAMBRIL RESMA;48185
1408;papel bond B24 66x96 colores;72830
8,93E+12;papel celofan pliego TRANSP / COLOR;115
PCEM;papel contac ESCARCHADO x20mts;7530
7,59E+12;papel contac MADERA x20mt;11050
PCTC;papel contac TRANSPARENTE x20mt;9920
7,59E+12;papel contac UNICOLOR x20mt;10545
7,59E+12;papel coreano x20pcs;1170
7,59E+12;papel crepe;195
9,02E+12;papel crepe METALIZADA;465
PP12GX6;papel escarchado 250gr 50x70cm;810
6,58E+12;papel fotografico ADHESIVO x20 AMIKO;2750
CMKBST;papel fotografico AMIKO 20h A4 180g;1540
GLT25;papel fotografico CRISVI x20h carta 180G;2430
150000;papel fotografico CRISVI x20h carta 230G;3110
AERRN;papel fotografico CRISVIx20h ambos lados;2925
2,07E+11;papel fotografico JOJO 20h A4 180g;1865
PMM;papel hojilla metalizado UNICOLOR x50 mt;18645
PLP;papel lustrillo pliego;245
PREG;papel regalo primavera x100;17150
PSEDA;papel seda x 50;2545
7,59E+12;papel sublimacion CRISVI 50H;3160
VRIOGLO;pasamaneria grande strass piedritas;1195
CHCLA;pasamaneria millares pompom colores xmt;700
ESPPEQ;pasamaneria SURTIDA xmt;385
CARTCOL;pasameneria tipo borla  X  MT;575
35813;pasatiempos crucigramas-sopas-sudokus;435
MARPIZKO;pega barra 16g GLUE STICK;330
7,59E+12;pega barra 21 GLUE STICK;445
7,45E+12;pega barra SHARK 21gr;290
7,50E+12;pega barra SHARK 40gr;560
7,59E+12;pega escolar 1000 ml;3195
PE135;pega escolar 120gr;570
7,45E+12;pega escolar 250gr;970
CARTESC;pega escolar 40gr;220
CPX63;pega escolar 500gr;1890
CRRTMBLE;pega escolar 60gr;340
PEGAILK;pega loka;280
7,59E+12;pega loka AMIKO 3G;155
ABRA;pega loka AMIKO 8G;205
7,59E+12;pelota anime 10;370
6,90E+12;pelota anime 12;670
ALG;pelota anime 15;670
7,60E+12;pelota anime 15 2 tapas;550
7,60E+12;pelota anime 20;2005
7,59E+12;pelota anime 20 2 tapas;1100
FCT;pelota anime 25 2 tapas;1150
7,59E+12;pelota anime 3;45
7,59E+12;pelota anime 30 2 tapas;2065
7,59E+12;pelota anime 35 2 tapas;4450
8,81E+12;pelota anime 4;55
1812;pelota anime 40 2 tapas;4450
7,59E+12;pelota anime 5;90
BA5;pelota anime 6;80
DESGTAE;pelota anime 7;195
MAASFLE;pelota anime 8;195
7,60E+12;peluche y flores cajita;2360
8,62E+12;pen drive SANDISK 128GB 2.0;6430
CSCPLA;pen drive SANDISK 128GB 3.0;8235
7,45E+12;pen drive SANDISK 16GB 2.0;2570
PY3;pen drive SANDISK 32GB 2.0;3090
1313;pen drive SANDISK 4GB 2.0;2545
72512201725;pen drive SANDISK 64GB 2.0;3549,99
PG64;pen drive SANDISK 64GB 3.0;3970
7,59E+12;perforador 2 huecos 7-8 CM KEYROAD;9850
RMLTFM;perforador un hueco tipo alicate;950
7,59E+12;perforadora FORMAS SURTIDAS grande;2170
7,59E+12;perforadora FORMAS SURTIDAS mini;940
7,71E+12;PINCEL artistico surtidos x 10;1455
7,59E+12;PINCEL delineador 0 , 00 , 000;410
ARRX;PINCEL No 1;230
PTS;pinta carita crisvi x6;4245
LH;pintadedos OFIMAK;1620
7,59E+13;pintura al frio 60cc OSI;420
T36;pintura METALIZADA 22ml SISI de OSI;570
7,59E+12;pintura oleo MARIE-S X12;7830
138;pintura oleo VNEEDS gouache x12;3000
7,59E+12;pistola de silicon grande;2145
ADP;pistola de silicon pequeña;1795
8,36E+11;pizarra acrilica 40X60 PEQUENA;8895
7,59E+12;pizarra acrilica grande 80X60;17400
35818;pizarra grande tiza;13340
CAVA71;pizarra pequeña tiza;5640
7,59E+12;plantilla de letras y numeros 25ml;630
7,20E+11;plantilla geografica de venezuela x3 STA;2490
T6;plastico forrar 2mts;870
JPV;plastidedo AMIKO 140g masa moldear;700
BP5KG;plastidedo AMIKO 65g masa moldear;420
7,59E+12;plastilina x10 estuche pr622-10;700
7,59E+12;plastilina x12 estuche pr622;750
8,25E+11;plastilina x6 estuche PR622-6;255
7,59E+12;plastilina x6 KEYROAD 90G;810
2,28E+12;plastilina x8 estuche PR623;605
VV;plumas de colores;470
PEP;plumas de ganzo 15-20 cm surtidos x10und;1515
6784;porta borrador KEYROAD;975
71950207010;porta carnet tipo yoyo;465
7,59E+12;porta carnet vertical plastico;395
7,59E+12;portamina 2.0mm BAIKU;505
72512092095;portaminas PENTEL/SOLITA 0.5;3350
7,45E+12;portaminas POINTER MP-3006 0.5;540
7,45E+12;portaminas POINTER MP-7011 0.7;670
MP805;portaminas POINTER MP-805 0.5;335
7,59E+12;portaminas POINTER MP-820 0.5;470
COLJUPEQ;regla 20cm star;395
PA6090;regla 30 cm aluminio;1405
7,59E+12;regla 30 cm flexible;725
REKO;resaltador grueso  MENKO/SHARK;235
AC15;resaltador grueso RD;210
7,59E+12;resaltador MENKO ESTUCHE X4;1335
JDDOI;resaltador SHARPIE ACCENT;1405
DT30G;resaltadorI ICONO X4 206/207/208/229;750
7,59E+12;resma carta x500 HP;3220
RLDRP;resma oficio x500H CHAMEX;4545
7,59E+12;resma papel extra oficio x500;10165
7,70E+12;rollo bond  57 mm Sumadora;870
RB57;rollo bond 44 mm Sumadora;340
RT57X40;rollo termico 57x40  PUNTO DE VENTA;230
RB75;rollo termico 80x60 maquina FISCAL;740
7,59E+12;rompecabeza carton GRANDE  45pza;1740
PDRY;rompecabeza carton PEQUEÑO;725
ESP5;sacagrapa  PEQ;515
7,59E+12;sacapunta dos hoyos PR;535
7,45E+12;sacapunta metal;140
7,59E+12;sacapunta metal dep plastico;445
7191491;sacapunta metal DOBLE merletto;350
50090;sellos motivacional figuras infantiles;640
7,90E+12;separador 8  mat bristol blanca;525
SC8MT;separador 8 mat SHARK colores plastico;715
7,59E+12;"serafin 3"" sugetador de papeles x50pc";640
SBD;silicon barra DELGADA larga xund;80
7,59E+12;silicon barra delgdo/grueso 800GR;3090
MIPLTO;silicon barra delgdo/grueso BTO kilos;78190
7,49E+12;silicon barra GRUESA larga x und;135
7,59E+12;silicon liquido 100 ml;960
8,06E+11;silicon liquido 250 ml;2080
4,72E+12;silicon liquido 30 ml;375
7,45E+12;silicon liquido 60 ml;700
RPLCS;silicon liquido escarchado colores 60/ml;245
7,59E+12;Sobre avion N8;870
SB11;sobre blanco N°11;70
SMC;sobre manila carta;140
7,59E+12;sobre manila extra oficio;435
SMO;sobre manila oficio;150
SMMC;sobre manila PAGO;35
7,59E+12;sobre manila radiografia;500
LE;sobre plastico oficio cordon;455
1109-6;stickers surtidos 1001;620
28010;stickers surtidos 1002;360
7,59E+12;tabla chequeo plastica carta;1155
7,59E+12;tabla de chequeo madera oficio;1960
FN;tabla de chequeo oficio dibujo infantil;1710
7,59E+12;tabla periodica actualizada;230
CAVA75;taco blanco notas 9X9 200h;325
7,45E+12;taco blanco notas 9X9 500h;1370
5,60E+11;Talonario de contado GRD CRISVY N2 60h;620
EA6706G;Talonario de contado GRD hoja blanca N2;1245
TACONP;Talonario de contado PEQ N1;680
7,90E+12;Talonario de contado PEQU CRISVY N1 60h;395
7,20E+11;talonario de rifa;455
7,59E+12;Talonario recibo PEQ CRISVY N1 60h;395
LE00;tempera solida c/sello x12 CRISVI;3850
7,59E+12;tiara mini 3cm;1185
T5X5;tijera 7'' corporativa SHARK 18cm;985
7,59E+12;tijera escolar 5'' BAHUGINIA;655
TES;"tijera escolar sencilla 5""";300
AL50CC;tijera ZIG ZAG;1135
JVCT;tinta para sello gotero 30ml;505
EMATSYLMR;tinta roll on 60ml;1760
MPH;"tirro 2"" escolar";430
2140;"tirro 3/4""  SHARK 20Y";560
8,25E+11;tiza x 12 blanca la nieve;265
8,25E+11;tiza x12 Color;290
8,25E+11;transportador 180º;870
7,59E+12;tricol xmt;30
7,60E+12;vela cumpleaños corta tradicional;220
OLLHOKN;vela cumpleaños NUMEROS;230
7,59E+12;verada papagallo;150
27084120134;yute xmt;140
